run	community	jaccard_index	intersection	sign_length
run_18	CL5	0.2	8	27
run_18	CL6	0.3076923076923077	4	11
run_18	CL7	0.3333333333333333	13	21
run_19	CL1	0.2222222222222222	4	12
run_19	CL2	0.3181818181818182	7	11
run_19	CL3	0.17857142857142858	10	28
run_19	CL4	0.25	10	16
run_19	CL5	0.3333333333333333	15	27
run_19	CL6	0.2727272727272727	6	11
run_19	CL7	0.3953488372093023	17	21
run_20	CL1	0.2857142857142857	6	12
run_20	CL2	0.24242424242424243	8	11
run_20	CL3	0.16666666666666666	9	28
run_20	CL4	0.3888888888888889	7	16
run_20	CL5	0.22727272727272727	10	27
run_20	CL6	0.2631578947368421	5	11
run_20	CL7	0.391304347826087	18	21
run_21	CL1	0.38095238095238093	8	12
run_21	CL2	0.23529411764705882	4	11
run_21	CL3	0.2972972972972973	11	28
run_21	CL4	0.30434782608695654	7	16
run_21	CL5	0.2702702702702703	10	27
run_21	CL6	0.25	4	11
run_21	CL7	0.4	14	21
run_22	CL1	0.2222222222222222	4	12
run_22	CL2	0.32142857142857145	9	11
run_22	CL3	0.16071428571428573	9	28
run_22	CL4	0.3684210526315789	7	16
run_22	CL5	0.19444444444444445	7	27
run_22	CL6	0.125	2	11
run_22	CL7	0.32	8	21
run_23	CL1	0.3125	5	12
run_23	CL2	0.28125	9	11
run_23	CL3	0.14285714285714285	8	28
run_23	CL4	0.11764705882352941	2	16
run_23	CL5	0.3142857142857143	11	27
run_23	CL6	0.3	6	11
run_23	CL7	0.4	12	21
run_24	CL1	0.28	7	12
run_24	CL2	0.30303030303030304	10	11
run_24	CL3	0.16363636363636364	9	28
run_24	CL4	0.3181818181818182	7	16
run_24	CL5	0.25925925925925924	14	27
run_24	CL6	0.25	5	11
run_24	CL7	0.4375	14	21
run_25	CL1	0.3	6	12
run_25	CL2	0.26666666666666666	4	11
run_25	CL3	0.11627906976744186	5	28
run_25	CL4	0.391304347826087	9	16
run_25	CL5	0.3	9	27
run_25	CL6	0.22727272727272727	5	11
run_25	CL7	0.3448275862068966	10	21
run_26	CL1	0.4	6	12
run_26	CL2	0.25	10	11
run_26	CL3	0.1875	9	28
run_26	CL4	0.47368421052631576	9	16
run_26	CL5	0.35135135135135137	13	27
run_26	CL6	0.15384615384615385	2	11
run_26	CL7	0.35135135135135137	13	21
run_27	CL1	0.11538461538461539	3	12
run_27	CL2	0.4375	7	11
run_27	CL3	0.2	11	28
run_27	CL4	0.15	3	16
run_27	CL5	0.2564102564102564	10	27
run_27	CL6	0.22580645161290322	7	11
run_27	CL7	0.37037037037037035	10	21
run_28	CL1	0.058823529411764705	1	12
run_28	CL2	0.36363636363636365	4	11
run_28	CL3	0.14814814814814814	8	28
run_28	CL4	0.3333333333333333	10	16
run_28	CL5	0.2413793103448276	14	27
run_28	CL6	0.3076923076923077	4	11
run_28	CL7	0.2857142857142857	8	21
run_29	CL1	0.47058823529411764	8	12
run_29	CL2	0.20833333333333334	10	11
run_29	CL3	0.20408163265306123	10	28
run_29	CL4	0.17647058823529413	3	16
run_29	CL5	0.325	13	27
run_29	CL6	0.14285714285714285	2	11
run_29	CL7	0.45454545454545453	15	21
run_30	CL1	0.23076923076923078	6	12
run_30	CL2	0.21052631578947367	8	11
run_30	CL3	0.14925373134328357	10	28
run_30	CL4	0.29411764705882354	5	16
run_30	CL5	0.3125	10	27
run_30	CL6	0.22727272727272727	5	11
run_30	CL7	0.26666666666666666	8	21
run_31	CL1	0.35	7	12
run_31	CL2	0.3125	5	11
run_31	CL3	0.13043478260869565	6	28
run_31	CL4	0.1111111111111111	2	16
run_31	CL5	0.08571428571428572	3	27
run_31	CL6	0.13636363636363635	3	11
run_31	CL7	0.4	10	21
run_32	CL1	0.1724137931034483	5	12
run_32	CL2	0.34782608695652173	8	11
run_32	CL3	0.19148936170212766	9	28
run_32	CL4	0.05555555555555555	1	16
run_32	CL5	0.21875	7	27
run_32	CL6	0.13333333333333333	2	11
run_32	CL7	0.25	9	21
run_33	CL1	0.2222222222222222	4	12
run_33	CL2	0.2	3	11
run_33	CL3	0.19148936170212766	9	28
run_33	CL4	0.24	6	16
run_33	CL5	0.16216216216216217	6	27
run_33	CL6	0.14285714285714285	2	11
run_33	CL7	0.4230769230769231	11	21
run_34	CL1	0.23076923076923078	6	12
run_34	CL2	0.38095238095238093	8	11
run_34	CL3	0.22413793103448276	13	28
run_34	CL4	0.21621621621621623	8	16
run_34	CL5	0.3469387755102041	17	27
run_34	CL6	0.05263157894736842	1	11
run_34	CL7	0.4857142857142857	17	21
