run_id	pvalue_KM	n_sign_KM	enriching_signatures	p_value_adj_KM
shuffling_15perc_29	0.25541625942694823	6	Comm_7;Comm_5;Comm_1;Comm_2;Comm_3;Comm_4	0.3530754174431343
shuffling_15perc_30	0.2008450612429344	7	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4;Comm_6	0.3239118879849285
shuffling_15perc_31	0.22271493265245754	5	Comm_3;Comm_5;Comm_7;Comm_2;Comm_4	0.3361156552415529
shuffling_15perc_32	0.08686499796076977	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.24342868953720162
shuffling_15perc_33	0.17225975498107612	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.3033632666593322
shuffling_15perc_34	0.21732131313504394	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.3338302730497586
shuffling_15perc_35	0.09153971704976678	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.2434927889669671
shuffling_15perc_36	0.1955337964909525	6	Comm_7;Comm_5;Comm_2;Comm_3;Comm_4;Comm_1	0.3200528310722556
shuffling_15perc_37	0.04848357995756842	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.23117533052231898
shuffling_15perc_38	0.11816860997908968	7	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4;Comm_6	0.26159627833322874
shuffling_15perc_39	0.07454529593381538	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.24126901667783263
shuffling_15perc_40	0.20467860077869202	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.32688960998150324
shuffling_15perc_41	0.21107880392427059	7	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4;Comm_6	0.33006251286821686
shuffling_15perc_42	0.45970467038278207	7	Comm_7;Comm_5;Comm_2;Comm_3;Comm_4;Comm_1;Comm_6	0.5215270226066734
shuffling_15perc_43	0.4239908860163528	5	Comm_7;Comm_5;Comm_2;Comm_4;Comm_3	0.48841121926241243
shuffling_15perc_44	0.06627483785066064	6	Comm_7;Comm_5;Comm_2;Comm_3;Comm_4;Comm_6	0.24126901667783263
