community	TP	FN	FP	Precision	Recall	F1	run
CL1	3	4	3	0.5	0.42857142857142855	0.4615384615384615	38
CL2	8	9	1	0.8888888888888888	0.47058823529411764	0.6153846153846153	38
CL3	4	0	0	1	1	1	38
CL4	6	4	0	1	0.6	0.7499999999999999	38
CL5	10	6	1	0.9090909090909091	0.625	0.7407407407407406	38
CL6	1	7	3	0.25	0.125	0.16666666666666666	38
CL7	5	5	1	0.8333333333333334	0.5	0.625	38
CL1	0	5	5	0	0	NA	39
CL2	6	10	2	0.75	0.375	0.5	39
CL3	2	1	1	0.6666666666666666	0.6666666666666666	0.6666666666666666	39
CL4	9	1	0	1	0.9	0.9473684210526316	39
CL5	15	2	0	1	0.8823529411764706	0.9375	39
CL6	0	6	5	0	0	NA	39
CL7	6	4	1	0.8571428571428571	0.6	0.7058823529411764	39
CL1	5	1	4	0.5555555555555556	0.8333333333333334	0.6666666666666667	40
CL2	8	8	2	0.8	0.5	0.6153846153846154	40
CL3	3	0	1	0.75	1	0.8571428571428571	40
CL4	2	4	4	0.3333333333333333	0.3333333333333333	0.3333333333333333	40
CL5	10	6	1	0.9090909090909091	0.625	0.7407407407407406	40
CL6	0	6	5	0	0	NA	40
CL7	7	1	3	0.7	0.875	0.7777777777777777	40
CL1	5	5	0	1	0.5	0.6666666666666666	41
CL2	7	10	1	0.875	0.4117647058823529	0.56	41
CL3	3	1	0	1	0.75	0.8571428571428571	41
CL4	3	3	4	0.42857142857142855	0.5	0.4615384615384615	41
CL5	9	8	0	1	0.5294117647058824	0.6923076923076924	41
CL6	0	9	2	0	0	NA	41
CL7	3	7	1	0.75	0.3	0.4285714285714285	41
CL1	3	1	6	0.3333333333333333	0.75	0.46153846153846156	42
CL2	4	11	3	0.5714285714285714	0.26666666666666666	0.36363636363636365	42
CL3	3	0	1	0.75	1	0.8571428571428571	42
CL4	3	3	4	0.42857142857142855	0.5	0.4615384615384615	42
CL5	17	0	0	1	1	1	42
CL6	0	0	11	0	NA	NA	42
CL7	2	1	8	0.2	0.6666666666666666	0.30769230769230765	42
CL1	5	5	0	1	0.5	0.6666666666666666	43
CL2	9	7	2	0.8181818181818182	0.5625	0.6666666666666666	43
CL3	4	0	0	1	1	1	43
CL4	2	6	2	0.5	0.25	0.3333333333333333	43
CL5	0	13	4	0	0	NA	43
CL6	5	6	0	1	0.45454545454545453	0.625	43
CL7	4	5	2	0.6666666666666666	0.4444444444444444	0.5333333333333333	43
CL1	5	1	4	0.5555555555555556	0.8333333333333334	0.6666666666666667	44
CL2	5	11	2	0.7142857142857143	0.3125	0.43478260869565216	44
CL3	4	0	0	1	1	1	44
CL4	4	3	3	0.5714285714285714	0.5714285714285714	0.5714285714285714	44
CL5	16	0	1	0.9411764705882353	1	0.9696969696969697	44
CL6	4	3	4	0.5	0.5714285714285714	0.5333333333333333	44
CL7	1	4	6	0.14285714285714285	0.2	0.16666666666666666	44
CL1	0	6	4	0	0	NA	45
CL2	4	12	2	0.6666666666666666	0.25	0.36363636363636365	45
CL3	3	0	1	0.75	1	0.8571428571428571	45
CL4	2	5	3	0.4	0.2857142857142857	0.3333333333333333	45
CL5	14	2	1	0.9333333333333333	0.875	0.9032258064516129	45
CL6	0	9	2	0	0	NA	45
CL7	8	2	1	0.8888888888888888	0.8	0.8421052631578948	45
CL1	3	5	2	0.6	0.375	0.4615384615384615	46
CL2	7	11	0	1	0.3888888888888889	0.56	46
CL3	2	0	2	0.5	1	0.6666666666666666	46
CL4	2	7	1	0.6666666666666666	0.2222222222222222	0.3333333333333333	46
CL5	10	7	0	1	0.5882352941176471	0.7407407407407407	46
CL6	0	8	3	0	0	NA	46
CL7	6	4	1	0.8571428571428571	0.6	0.7058823529411764	46
CL1	4	2	4	0.5	0.6666666666666666	0.5714285714285715	47
CL2	3	13	2	0.6	0.1875	0.2857142857142857	47
CL3	3	0	1	0.75	1	0.8571428571428571	47
CL4	7	0	3	0.7	1	0.8235294117647058	47
CL5	17	0	0	1	1	1	47
CL6	0	6	5	0	0	NA	47
CL7	5	5	1	0.8333333333333334	0.5	0.625	47
CL1	5	2	3	0.625	0.7142857142857143	0.6666666666666666	48
CL2	1	15	2	0.3333333333333333	0.0625	0.10526315789473684	48
CL3	2	0	2	0.5	1	0.6666666666666666	48
CL4	4	4	2	0.6666666666666666	0.5	0.5714285714285715	48
CL5	17	0	0	1	1	1	48
CL6	1	4	6	0.14285714285714285	0.2	0.16666666666666666	48
CL7	7	0	4	0.6363636363636364	1	0.7777777777777778	48
CL1	5	0	5	0.5	1	0.6666666666666666	49
CL2	6	5	7	0.46153846153846156	0.5454545454545454	0.4999999999999999	49
CL3	3	0	1	0.75	1	0.8571428571428571	49
CL4	7	0	3	0.7	1	0.8235294117647058	49
CL5	16	0	1	0.9411764705882353	1	0.9696969696969697	49
CL6	4	0	7	0.36363636363636365	1	0.5333333333333333	49
CL7	7	0	4	0.6363636363636364	1	0.7777777777777778	49
CL1	4	2	4	0.5	0.6666666666666666	0.5714285714285715	50
CL2	9	6	3	0.75	0.6	0.6666666666666665	50
CL3	4	0	0	1	1	1	50
CL4	8	1	1	0.8888888888888888	0.8888888888888888	0.8888888888888888	50
CL5	9	7	1	0.9	0.5625	0.6923076923076923	50
CL6	1	7	3	0.25	0.125	0.16666666666666666	50
CL7	6	2	3	0.6666666666666666	0.75	0.7058823529411765	50
