gene_ID,gene_name,difference,tstat,logpval,significant
BRINP1,BRINP1,-2.51162653520361,-2.51162653520361,1.9879823806185133,+
BRINP2,BRINP2,-1.317192041186157,-1.317192041186157,1.8122257389912604,NA
BRINP3,BRINP3,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
BRIP1,BRIP1,-0.3382062662570417,-0.3382062662570417,1.2647922459773286,NA
BRIX1,BRIX1,0.9788563179850934,0.9788563179850934,0.32765097817372596,NA
BRK1,BRK1,1.3998502999440985,1.3998502999440985,0.16155815158522607,NA
BRMS1,BRMS1,1.0075310310859298,1.0075310310859298,0.3136796533523762,NA
BRMS1L,BRMS1L,-0.18305211884687347,-0.18305211884687347,1.1452428754910944,NA
BROX,BROX,0.6469610777491162,0.6469610777491162,0.5176571343759808,NA
BRPF1,BRPF1,0.00621393331304807,0.00621393331304807,0.9950420304546668,NA
BRPF3,BRPF3,0.30189359345891736,0.30189359345891736,0.7627331797241566,NA
BRSK1,BRSK1,-0.7596857117561282,-0.7596857117561282,1.5525575285224722,NA
BRSK2,BRSK2,-1.8809446681652393,-1.8809446681652393,1.9400205539162347,NA
BRWD1,BRWD1,0.24085464435262252,0.24085464435262252,0.8096677759274288,NA
BRWD1-AS1,BRWD1-AS1,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
BRWD1-IT2,BRWD1-IT2,-0.8197213695462539,-0.8197213695462539,1.5876250350636498,NA
BRWD3,BRWD3,-0.13683598983107867,-0.13683598983107867,1.1088395645733644,NA
BSCL2,BSCL2,1.35551129661662,1.35551129661662,0.17525471190243566,NA
BSDC1,BSDC1,0.7609479169603414,0.7609479169603414,0.4466881765647659,NA
BSG,BSG,1.7611646307090374,1.7611646307090374,0.07821054255205913,NA
BSN,BSN,-1.5198892512883435,-1.5198892512883435,1.8714611876260099,NA
BSN-AS2,BSN-AS2,-2.2209309674025817,-2.2209309674025817,1.9736443626050595,+
BSND,BSND,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
BSPRY,BSPRY,0.545661019052031,0.545661019052031,0.585298971840649,NA
BST1,BST1,0.39549096398670336,0.39549096398670336,0.6924805889421948,NA
BST2,BST2,2.1329002454677344,2.1329002454677344,0.032932910216501625,+
BTAF1,BTAF1,0.501613293848602,0.501613293848602,0.6159395663325395,NA
BTBD1,BTBD1,0.5762452220771893,0.5762452220771893,0.5644494425947757,NA
BTBD10,BTBD10,0.5022282143327057,0.5022282143327057,0.6155069984018647,NA
BTBD11,BTBD11,-1.22174990920606,-1.22174990920606,1.7781977837973937,NA
BTBD16,BTBD16,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
BTBD19,BTBD19,-0.4779226730926062,-0.4779226730926062,1.3672947567820786,NA
BTBD2,BTBD2,0.7754147304547813,0.7754147304547813,0.4380946336136488,NA
BTBD3,BTBD3,0.20939660695531684,0.20939660695531684,0.8341386413140406,NA
BTBD6,BTBD6,0.633529919806851,0.633529919806851,0.526387648764158,NA
BTBD7,BTBD7,0.01381952877433078,0.01381952877433078,0.9889739623121396,NA
BTBD8,BTBD8,-0.411349439629378,-0.411349439629378,1.319183677785838,NA
BTBD9,BTBD9,-0.3537410995396618,-0.3537410995396618,1.27646708145927,NA
BTC,BTC,-0.3065216792076978,-0.3065216792076978,1.2407925239206694,NA
BTD,BTD,0.2487515179379544,0.2487515179379544,0.8035529954901565,NA
BTF3,BTF3,1.851978676940354,1.851978676940354,0.06402888489989957,NA
BTF3L4,BTF3L4,0.33425782946437577,0.33425782946437577,0.7381850092996269,NA
BTF3P11,BTF3P11,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
BTG1,BTG1,1.323244153319178,1.323244153319178,0.18575419701068863,NA
BTG2,BTG2,0.8694328360506381,0.8694328360506381,0.38461042945387935,NA
BTG3,BTG3,0.5829769831663248,0.5829769831663248,0.5599087949032089,NA
BTG4,BTG4,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
BTK,BTK,0.02906308393290173,0.02906308393290173,0.9768142781062065,NA
BTLA,BTLA,-1.1157894005241886,-1.1157894005241886,1.7354877080626538,NA
BTN1A1,BTN1A1,-2.7789874888447033,-2.7789874888447033,1.9945471374742416,+
BTN2A1,BTN2A1,0.871892517987053,0.871892517987053,0.383267015789576,NA
BTN2A2,BTN2A2,0.12929512284180694,0.12929512284180694,0.8971241304511529,NA
BTN2A3P,BTN2A3P,0.871892517987053,0.871892517987053,0.383267015789576,NA
BTN3A1,BTN3A1,0.871892517987053,0.871892517987053,0.383267015789576,NA
BTN3A2,BTN3A2,0.871892517987053,0.871892517987053,0.383267015789576,NA
BTN3A3,BTN3A3,0.38594351436509305,0.38594351436509305,0.6995385027423011,NA
BTNL3,BTNL3,-2.7016693290276623,-2.7016693290276623,1.993100766026533,+
BTNL8,BTNL8,-2.1644230113370506,-2.1644230113370506,1.9695681006446544,+
BTNL9,BTNL9,-0.7390049649486403,-0.7390049649486403,1.5400960174881857,NA
BTRC,BTRC,0.11165661421883202,0.11165661421883202,0.9110956809762704,NA
BUB1,BUB1,0.3550033047438748,0.3550033047438748,0.7225871154550101,NA
BUB1B,BUB1B,0.343449272489926,0.343449272489926,0.7312604970782279,NA
BUB3,BUB3,1.2061179832154234,1.2061179832154234,0.22777200182433835,NA
BUD13,BUD13,0.1887158601478287,0.1887158601478287,0.8503155203454693,NA
BUD31,BUD31,1.0127416730828087,1.0127416730828087,0.3111835670713049,NA
